datetime,symbol,open,high,low,close,volume
2024-09-23 06:20:00,BINANCE:BTCUSD,63523.59,63528.68,63523.59,63528.68,0.00173
2024-09-23 06:21:00,BINANCE:BTCUSD,63527.02,63527.02,63519.63,63519.63,0.02417
2024-09-23 06:22:00,BINANCE:BTCUSD,63495.11,63763.61,63495.11,63763.61,0.46918
2024-09-23 06:23:00,BINANCE:BTCUSD,63767.96,63767.96,63728.52,63729.17,0.21281
2024-09-23 06:24:00,BINANCE:BTCUSD,63726.34,63726.34,63681.37,63682.41,0.40335
2024-09-23 06:25:00,BINANCE:BTCUSD,63693.68,63714.66,63672.18,63672.55,0.05111
2024-09-23 06:26:00,BINANCE:BTCUSD,63606.73,63624.37,63606.73,63611.94,0.03831
2024-09-23 06:27:00,BINANCE:BTCUSD,63603.27,63633.68,63603.27,63633.68,0.00488
2024-09-23 06:28:00,BINANCE:BTCUSD,63610.97,63610.97,63607.8,63607.8,0.00514
2024-09-23 06:29:00,BINANCE:BTCUSD,63604.38,63607.42,63574.32,63607.42,0.41005
2024-09-23 06:30:00,BINANCE:BTCUSD,63615.66,63615.66,63525.1,63537.89,0.0313
2024-09-23 06:31:00,BINANCE:BTCUSD,63507.45,63630.8,63507.45,63627.06,0.02285
2024-09-23 06:32:00,BINANCE:BTCUSD,63601.73,63608.04,63589.3,63608.04,0.02695
2024-09-23 06:33:00,BINANCE:BTCUSD,63553.43,63580.92,63553.43,63580.92,0.10299
2024-09-23 06:34:00,BINANCE:BTCUSD,63632.27,63640.29,63632.27,63640.29,0.00725
2024-09-23 06:35:00,BINANCE:BTCUSD,63666.99,63666.99,63648.53,63648.53,0.00345
2024-09-23 06:36:00,BINANCE:BTCUSD,63661.97,63747.49,63661.97,63744.84,0.05259
2024-09-23 06:37:00,BINANCE:BTCUSD,63760.7,63899.57,63759.69,63895.47,0.6496
2024-09-23 06:38:00,BINANCE:BTCUSD,63899.57,63910.66,63802.81,63842.16,0.03185
2024-09-23 06:40:00,BINANCE:BTCUSD,63768.44,63768.44,63687.79,63744.93,0.02811
2024-09-23 06:41:00,BINANCE:BTCUSD,63716.13,63720.82,63716.13,63720.82,0.00479
2024-09-23 06:42:00,BINANCE:BTCUSD,63743.39,63795.85,63743.39,63795.06,0.00988
2024-09-23 06:43:00,BINANCE:BTCUSD,63792.45,63792.45,63761.35,63761.35,0.03749
2024-09-23 06:44:00,BINANCE:BTCUSD,63768.72,63772.72,63768.72,63772.72,0.00873
2024-09-23 06:45:00,BINANCE:BTCUSD,63803.02,63846.8,63803.02,63846.8,0.00064
2024-09-23 06:46:00,BINANCE:BTCUSD,63777.68,63777.69,63689.0,63689.0,0.00603
2024-09-23 06:47:00,BINANCE:BTCUSD,63738.65,63745.86,63738.65,63745.86,0.00106
2024-09-23 06:48:00,BINANCE:BTCUSD,63757.02,63757.02,63746.09,63748.11,0.00868
2024-09-23 06:51:00,BINANCE:BTCUSD,63870.56,63880.18,63783.56,63789.93,0.3825
2024-09-23 06:52:00,BINANCE:BTCUSD,63819.84,63840.42,63700.27,63712.37,0.96452
2024-09-23 06:53:00,BINANCE:BTCUSD,63716.31,63741.1,63645.49,63645.49,0.26156
2024-09-23 06:54:00,BINANCE:BTCUSD,63631.37,63631.37,63631.37,63631.37,8e-05
2024-09-23 06:55:00,BINANCE:BTCUSD,63618.23,63662.22,63617.53,63662.22,0.00595
2024-09-23 06:56:00,BINANCE:BTCUSD,63655.83,63686.5,63655.83,63686.5,0.33249
2024-09-23 06:57:00,BINANCE:BTCUSD,63715.2,63715.2,63715.2,63715.2,0.00069
2024-09-23 06:58:00,BINANCE:BTCUSD,63648.39,63657.32,63640.74,63655.39,0.11212
2024-09-23 07:00:00,BINANCE:BTCUSD,63709.21,63721.48,63700.54,63721.48,0.0286
2024-09-23 07:01:00,BINANCE:BTCUSD,63767.89,63778.1,63767.89,63778.1,0.00189
2024-09-23 07:02:00,BINANCE:BTCUSD,63805.77,63807.4,63800.61,63800.61,0.00506
2024-09-23 07:03:00,BINANCE:BTCUSD,63779.01,63789.0,63779.01,63788.99,0.01511
2024-09-23 07:05:00,BINANCE:BTCUSD,63807.78,63807.78,63807.78,63807.78,0.00103
2024-09-23 07:06:00,BINANCE:BTCUSD,63823.75,63888.24,63823.44,63888.24,0.06027
2024-09-23 07:07:00,BINANCE:BTCUSD,63880.26,63880.26,63857.83,63857.83,0.00154
